cod_qc,nombre,lat,lon,altitud_oficial,dept,sector,umbral_pp,umbral_t,radio_pp,radio_t,delta_z,clase_diagnostico,area_pp_km2,radio_pp_km,n_px_pp,area_temp_km2,radio_temp_km,n_px_temp
qc00230931,PUENTE BREÑA,-12.05216,-75.24051,3202,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,5.228271484375,Consistente,195.9471,7.898,217719,417.0852,11.522,463428
qc00112037,VIQUES,-12.15603,-75.2283,3185,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,0.993408203125,Consistente,122.4333,6.243,136037,336.7917,10.354,374213
qc00100119,RUNATULLO,-11.61812,-75.01224,3473,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-1.5576171875,Consistente,18.2673,2.411,20297,145.0521,6.795,161169
qc00111031,COMAS,-11.74794,-75.13012,3650,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,55.20654296875,Discrepancia leve,18.6066,2.434,20674,110.3751,5.927,122639
qc00111097,INGENIO,-11.87521,-75.29665,3373,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,0.752685546875,Consistente,103.887,5.751,115430,432.414,11.732,480460
qc00110008,PICHANAKI,-10.93352,-74.86681,492,JUNIN,SELVA CENTRAL BAJA,100,200,40,80,-13.120208740234377,Consistente,207.3861,8.125,230429,2151.4923,26.169,2390547
qc00250501,RIO TULUMAYO,-11.2091,-75.3348,956,JUNIN,SELVA CENTRAL ALTA,100,200,30,60,12.566650390625,Consistente,100.5048,5.656,111672,912.2319,17.04,1013591
qc00111005,JAUJA,-11.78663,-75.48687,3363,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-2.1416015625,Consistente,109.6533,5.908,121837,304.929,9.852,338810
qc00111583,JUNIN,-11.14328,-75.98878,4101,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-3.3759765625,Consistente,179.2323,7.553,199147,594.1953,13.753,660217
qc00111038,SATIPO,-11.2247,-74.6087,690,JUNIN,SELVA CENTRAL BAJA,100,200,40,80,109.22943115234376,Discrepancia leve,639.3069,14.265,710341,3049.0803,31.154,3387867
qc00111029,TARMA,-11.3967,-75.6899,3017,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-0.0810546875,Consistente,24.7923,2.809,27547,112.7493,5.991,125277
qc00111030,HUASAHUASI,-11.2677,-75.6391,2731,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-16.598876953125,Consistente,14.4423,2.144,16047,75.5442,4.904,83938
qc00111076,YANTAC,-11.34583,-76.40453,4617,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-2.6982421875,Consistente,166.4784,7.28,184976,860.895,16.554,956550
qc00111046,LA OROYA,-11.57177,-75.95762,3861,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,24.547119140625,Consistente,43.0947,3.704,47883,227.4453,8.509,252717
qc00112056,HUAYAO,-12.0402,-75.32049,3316,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-1.336181640625,Consistente,167.2146,7.296,185794,537.2685,13.077,596965
qc00112028,SAN JUAN DE JARPA,-12.12454,-75.43178,3670,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,18.124755859375,Consistente,28.5219,3.013,31691,298.08,9.741,331200
qc00112059,LAIVE,-12.25229,-75.36053,3829,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-2.988037109375,Consistente,106.56,5.824,118400,390.5235,11.149,433915
qc00108068,TRUJILLO,-8.11203,-78.9851,44,LA LIBERTAD,COSTA NORTE,80,150,70,120,3.6861419677734375,Consistente,7542.5976,48.999,8380664,22087.7478,83.85,24541942
qc00100028,CHERREPE,-7.11887,-79.56118,51,LA LIBERTAD,COSTA NORTE,80,150,70,120,1.6390113830566406,Consistente,7871.0373,50.054,8745597,20276.8893,80.339,22529877
qc00107054,CALLANCAS,-7.76747,-78.47727,1501,LA LIBERTAD,SIERRA NORTE OCCIDENTAL,100,200,15,30,9.7899169921875,Consistente,26.6814,2.914,29646,179.1963,7.552,199107
qc00107009,HUAMACHUCO,-7.81916,-78.04013,3186,LA LIBERTAD,SIERRA NORTE ORIENTAL,100,200,12,25,10.222900390625,Consistente,111.0825,5.946,123425,557.3367,13.319,619263
qc00114132,POMACANCHI,-14.0278,-71.5726,3681,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-3.06689453125,Consistente,234.1962,8.634,260218,1201.7043,19.558,1335227
qc00112269,COCHABAMBA GRANDE,-12.19238,-74.51493,3008,HUANCAVELICA,SIERRA SUR ORIENTAL,100,200,20,40,342.7841796875,Sospechosa,98.6355,5.603,109595,669.9861,14.604,744429
qc00113252,ANCACHURO,-13.4724,-72.2188,3320,,SIERRA SUR ORIENTAL,100,200,20,40,0.4833984375,Consistente,170.7777,7.373,189753,933.2235,17.235,1036915
qc4729131E,SANTIAGO DE CHOCORVOS,-13.83333,-75.25,2590,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,100,200,12,25,-377.4775390625,Sospechosa,19.1484,2.469,21276,235.1691,8.652,261299
qc00109082,HUANUCO,-9.9378,-76.24793,1947,HUANUCO,SELVA CENTRAL ALTA,100,200,30,60,44.3916015625,Consistente,96.9228,5.554,107692,620.6337,14.055,689593
qc472D0552,CHINCHAVITO,-9.515,-75.9425,744,HUANUCO,SELVA NORTE ALTA,100,200,35,70,-45.37127685546875,Consistente,281.2698,9.462,312522,2090.8548,25.798,2323172
qc472B730C,PUENTE TARUCA,-9.85056,-76.1519,408,HUANUCO,SELVA CENTRAL ALTA,100,200,30,60,-1412.0133056640625,Sospechosa,12.5664,2.0,0,12.5664,2.0,0
qc00110148,CUSHI,-10.33924,-76.07321,3947,,SIERRA CENTRAL ORIENTAL,100,200,10,20,-0.404541015625,Consistente,68.8041,4.68,76449,390.8394,11.154,434266
qc00110147,SAN PEDRO DE MATIHUACA,-10.33777,-76.16533,3318,,SIERRA CENTRAL ORIENTAL,100,200,10,20,-0.346435546875,Consistente,44.7444,3.774,49716,226.3536,8.488,251504
qc00110146,QUISCA,-10.08922,-76.21556,2034,,SELVA CENTRAL ALTA,100,200,30,60,-0.2999267578125,Consistente,92.6262,5.43,102918,576.144,13.542,640160
qc47E845FC,CACHICOTO,-9.21931,-76.21294,769,HUANUCO,SELVA NORTE ALTA,100,200,35,70,-1.83013916015625,Consistente,714.6729,15.083,794081,2686.0968,29.241,2984552
qc472DA5AA,PUENTE BELLA,-9.32411,-76.02935,693,HUANUCO,SELVA NORTE ALTA,100,200,35,70,11.20062255859375,Consistente,657.1188,14.463,730132,2634.0228,28.956,2926692
qc47270400,TINGO MARIA,-9.29601,-76.00207,646,HUANUCO,SELVA NORTE ALTA,100,200,35,70,-7.61273193359375,Consistente,561.7404,13.372,624156,2600.2395,28.769,2889155
qc472D1624,PUENTE PEREZ,-9.34694,-75.9825,644,HUANUCO,SELVA NORTE ALTA,100,200,35,70,-29.0145263671875,Consistente,477.5121,12.329,530569,2427.2514,27.796,2696946
qc4727A4F8,PUERTO INCA,-9.3851,-74.96376,212,HUANUCO,SELVA CENTRAL BAJA,100,200,40,80,-5.845977783203125,Consistente,3436.2684,33.073,3818076,15199.4907,69.557,16888323
qc472811E4,CHALLACA M,-13.7905,-75.3821,1796,,SIERRA CENTRAL OCCIDENTAL,100,200,12,25,-0.1395263671875,Consistente,20.5272,2.556,22808,147.762,6.858,164180
qc00110140,JESUS DE LAURICOCHA,-10.07819,-76.63119,3486,HUANUCO,SIERRA CENTRAL ORIENTAL,100,200,10,20,0.569091796875,Consistente,28.4121,3.007,31569,203.9625,8.057,226625
qc00213507,RAMADILLAS,-13.80857,-75.50129,1351,,SIERRA CENTRAL OCCIDENTAL,100,200,12,25,-0.1298828125,Consistente,24.9957,2.821,27773,207.1521,8.12,230169
qc00213506,LOS MOLINOS,-13.9102,-75.66696,524,,COSTA SUR,80,150,70,120,-0.0185546875,Consistente,2265.9363,26.856,2517707,6263.7084,44.652,6959676
qc00213503,HUAMANI EL TAMBO,-13.84386,-75.58944,883,ICA,COSTA SUR,80,150,70,120,31.2728271484375,Consistente,423.1638,11.606,470182,1531.9899,22.083,1702211
qc472A446C,BETA SANTIAGO,-14.23739,-75.67022,386,ICA,COSTA SUR,80,150,70,120,9.52972412109375,Consistente,2767.239,29.679,3074710,6573.1374,45.742,7303486
qc4728A26A,CONTA M,-13.43936,-75.97517,314,ICA,COSTA SUR,80,150,70,120,4.798431396484375,Consistente,1044.3429,18.233,1160381,3626.2242,33.974,4029138
qc4728B11C,FONAGRO,-13.45944,-76.15167,64,ICA,COSTA SUR,80,150,70,120,20.883350372314453,Consistente,6785.6175,46.475,7539575,17688.8448,75.037,19654272
qc4728E160,SAN PEDRO DE HUACARPANA,-13.04889,-75.64806,3772,ICA,SIERRA CENTRAL OCCIDENTAL,100,200,12,25,-12.62646484375,Consistente,45.9846,3.826,51094,376.3368,10.945,418152
qc47283708,HUALLPOCA,-14.63201,-74.95588,683,ICA,COSTA SUR,80,150,70,120,2.71160888671875,Consistente,1092.2031,18.646,1213559,4179.6108,36.475,4644012
qc00114139,COPARA,-14.975,-74.89056,587,ICA,COSTA SUR,80,150,70,120,1.73529052734375,Consistente,1514.3877,21.956,1682653,4575.8304,38.165,5084256
qc00114136,PALPA,-14.54935,-75.18921,340,ICA,COSTA SUR,80,150,70,120,5.768829345703125,Consistente,1835.415,24.171,2039350,5728.2876,42.701,6364764
qc00100121,SAN ALEJANDRO,-8.83444,-75.21639,214,UCAYALI,SELVA CENTRAL BAJA,100,200,40,80,-10.016937255859377,Consistente,4608.8919,38.302,5120991,16335.2322,72.109,18150258
qc47E3834A,IMATA,-15.84266,-71.09062,4475,AREQUIPA,SIERRA SUR OCCIDENTAL,100,200,30,60,3.4853515625,Consistente,1364.6394,20.842,1516266,6427.5111,45.232,7141679
qc00109094,PUCA PUCA,-9.87895,-76.5909,3552,HUANUCO,SIERRA CENTRAL ORIENTAL,100,200,10,20,-21.661376953125,Consistente,44.3619,3.758,49291,320.49,10.1,356100
qc4728C78C,CUSICANCHA,-13.48333,-75.3,3253,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,100,200,12,25,-585.703857421875,Sospechosa,18.5652,2.431,20628,180.4788,7.579,200532
qc4728F216,CORDOVA,-14.03333,-75.16667,3225,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,100,200,12,25,27.55712890625,Consistente,75.1968,4.892,83552,327.9303,10.217,364367
qc47284198,CHALLACA,-13.7898,-75.417,1712,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,100,200,12,25,68.1270751953125,Discrepancia leve,24.3423,2.784,27047,168.6195,7.326,187355
qc472976F8,CALCA,-13.33333,-71.95524,2921,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,1.24658203125,Consistente,66.2931,4.594,73659,308.4021,9.908,342669
qc472A6280,NUEVO PISAC,-13.42264,-71.85388,2966,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,1.988525390625,Consistente,47.1879,3.876,52431,333.0171,10.296,370019
qc00114125,SAUSAYA,-14.52931,-71.35831,3885,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-0.497314453125,Consistente,378.7326,10.98,420814,2319.0048,27.169,2576672
qc00114126,PAYAPUNKU,-14.4261,-71.28145,3982,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,2.18994140625,Consistente,459.6678,12.096,510742,2258.2872,26.811,2509208
qc4726158C,SICUANI,-14.23736,-71.23669,3534,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,0.43212890625,Consistente,130.6296,6.448,145144,355.3488,10.635,394832
qc47E8B578,SIBINACOCHA,-13.92214,-71.01823,4871,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-4.2451171875,Consistente,578.6649,13.572,642961,2369.6091,27.464,2632899
qc472E025C,QUISOQUEPINA,-13.79505,-70.88622,5209,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,64.7314453125,Discrepancia leve,152.6463,6.971,169607,767.2878,15.628,852542
qc00114118,SALCCA,-14.16991,-71.23186,3920,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,22.5,Consistente,153.6318,6.993,170702,1237.5729,19.848,1375081
qc00114123,MARCA CUNKA,-14.49847,-72.08952,3796,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-2.84228515625,Consistente,218.0781,8.332,242309,1204.0398,19.577,1337822
qc4729A090,SANTO TOMAS,-14.44896,-72.09645,3665,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-7.128173828125,Consistente,167.9751,7.312,186639,774.7317,15.704,860813
qc00114124,HUAYHUAHUASI,-14.67242,-71.51991,3939,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-2.066650390625,Consistente,660.3498,14.498,733722,2511.3906,28.274,2790434
qc00112264,PONGO DE MAINIQUE,-12.24986,-72.82447,479,CUSCO,SELVA SUR BAJA,80,150,60,100,7.50714111328125,Consistente,2212.1901,26.536,2457989,8918.9685,53.282,9909965
qc4729658E,SAN PABLO,-13.02506,-72.61988,1228,CUSCO,SELVA SUR ALTA,100,200,35,70,10.5533447265625,Consistente,77.9121,4.98,86569,1133.6436,18.996,1259604
