cod_qc,nombre,lat,lon,altitud_oficial,altitud_dem,delta_z,clase_diagnostico,dept,fuente,sector,cod_sector,umbral_pp,umbral_t,radio_pp,radio_t
qc47E0E1A2,BOCATOMA CHIPILLICO,-4.7142,-80.11825,340,335.9308776855469,4.069122314453125,Consistente,PIURA,maestra,COSTA NORTE,CO_1,80,150,70,120
qc47E0522C,TAMBO GRANDE,-4.93848,-80.34703,67,63.21196746826172,3.7880325317382812,Consistente,PIURA,maestra,COSTA NORTE,CO_1,80,150,70,120
qc00110139,PICOY,-10.92159,-76.73703,3025,3017.23828125,7.76171875,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc47265686,SIBAYO,-15.49422,-71.4638,3804,3800.0,4.0,Consistente,AREQUIPA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00111300,ALCANTARILLA,-11.06061,-77.55006,120,125.62141418457031,-5.6214141845703125,Consistente,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc472E24B0,SANTA EULALIA,-11.92,-76.66664,970,941.0626220703125,28.9373779296875,Consistente,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc472D23BE,OCOÑA,-16.427,-73.1145,23,13.116724014282227,9.883275985717773,Consistente,AREQUIPA,maestra,COSTA SUR,CO_3,80,150,70,120
qc00214400,HUATIAPA,-16.00806,-72.48355,689,695.4575805664062,-6.45758056640625,Consistente,AREQUIPA,maestra,COSTA SUR,CO_3,80,150,70,120
qc47E3A5A6,HUANCA,-16.03458,-71.88108,3065,3059.140869140625,5.859130859375,Consistente,AREQUIPA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00112265,SAN MARTIN DE PORRES,-12.00889,-77.08447,56,53.36063003540039,2.6393699645996094,Consistente,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc00112208,SANTA ANITA,-12.04302,-76.97144,362,257.7797546386719,104.22024536132812,Discrepancia leve,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc00112281,LAS PALMAS,-12.15675,-77.01303,62,61.67975616455078,0.32024383544921875,Consistente,,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc00112233,VILLA MARIA DEL TRIUNFO,-12.16639,-76.92,272,265.48388671875,6.51611328125,Consistente,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc00212200,CARAL LAS MINAS,-10.90961,-77.46789,458,458.4953918457031,-0.495391845703125,Consistente,,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc4725F170,HUAROS,-11.40744,-76.57584,3569,3577.167236328125,-8.167236328125,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00212900,LA CAPILLA SENAMHI,-12.52183,-76.49658,399,398.6189270019531,0.381072998046875,Consistente,,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc00113249,CAÑETE,-13.07475,-76.33042,116,113.47624969482422,2.5237503051757812,Consistente,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc472191AC,SOCSI,-13.02825,-76.1945,310,307.1051025390625,2.8948974609375,Consistente,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc47E214D2,SANTO DOMINGO,-11.37,-77.02833,620,621.4945678710938,-1.49456787109375,Consistente,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc47E34654,PIRCA,-11.23284,-76.65514,3342,3298.52783203125,43.47216796875,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc47E22148,PUENTE CALLANTAMA,-11.2989,-76.8518,1300,1289.5294189453125,10.4705810546875,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc4729E39A,PAMPA DE MAJES,-16.33565,-72.15266,1503,1498.0281982421875,4.9718017578125,Consistente,AREQUIPA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc472722EC,HUANCAVELICA,-12.77163,-75.01237,3707,3704.825439453125,2.174560546875,Consistente,HUANCAVELICA,maestra,SIERRA CENTRAL ORIENTAL,SI_2OR,100,200,10,20
qc00103065,AMAZONAS,-3.76397,-73.25492,122,106.11537170410156,15.884628295898438,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc47E257D8,VICHAYCOCHA,-11.13916,-76.62455,3507,3499.6630859375,7.3369140625,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc47E330C4,SANTA CRUZ,-11.19827,-76.63487,3583,3564.230224609375,18.769775390625,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc47E323B2,CARAC,-11.19005,-76.77937,2646,2621.890380859375,24.109619140625,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc47E2323E,CUCHUANCA,-11.20158,-76.7881,2310,2304.9013671875,5.0986328125,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc472CE45A,MATUCANA,-11.83911,-76.378,2417,2421.281494140625,-4.281494140625,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00212700,PUENTE ANTAPUCRO,-12.0333,-76.6333,3229,1185.5133056640625,2043.4866943359375,Sospechosa,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc472D73C2,CASAPALCA,-11.638,-76.23325,4233,4246.56884765625,-13.56884765625,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00212605,SAN MATEO ,-11.76012,-76.30111,3156,3153.042236328125,2.957763671875,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc472EC742,SAN MATEO DE OTAO,-11.847,-76.56359,3513,3500.024658203125,12.975341796875,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc472CA750,SANTIAGO DE TUNA,-11.9832,-76.5242,2924,2910.28515625,13.71484375,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00230603,LAGUNAS,-5.2171,-75.6679,120,119.62118530273438,0.378814697265625,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00113010,HUAMANI,-13.843,-75.60704,790,788.1397705078125,1.8602294921875,Consistente,ICA,maestra,COSTA SUR,CO_3,80,150,70,120
qc00104057,SAN LORENZO,-4.82954,-76.55477,150,136.61358642578125,13.38641357421875,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00100080,LAGUNAS,-5.2194,-75.6661,120,122.45569610595703,-2.4556961059570312,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00220107,BORJA,-4.47,-77.548,152,163.9061279296875,-11.9061279296875,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00221402,NAUTA,-4.5146,-73.5831,88,89.0,-1.0,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00104098,SAN REGIS,-4.51301,-73.90751,101,92.0,9.0,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00220105,SAN REGIS,-4.5132,-73.9076,101,92.0,9.0,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00104065,SANTA RITA DE CASTILLA,-4.5922,-74.3806,104,103.36637878417969,0.6336212158203125,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00240005, PUERTO ALEGRIA,-4.11491,-70.05391,68,68.45841217041016,-0.45841217041015625,Consistente,,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00104010,SANTA ROSA,-4.22636,-69.95629,62,71.24752044677734,-9.247520446777344,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00240108,SANTA ROSA,-4.2242,-69.9535,58,64.5,-6.5,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00105095,REQUENA,-5.04308,-73.83612,128,115.52069091796875,12.47930908203125,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00250101,REQUENA,-5.0411,-73.84,200,96.31851196289062,103.68148803710938,Discrepancia leve,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
