cod_qc_obj,nombre_obj,dept_obj,sector_obj,cod_qc_vecina,nombre_vecina,dept_vecina,sector_vecina,dist_km,dz_par,mismo_sector,misma_region,r_pp,p_pp,r_temp,altitud_vec,inhomogeneidad_obj
qc00000727,COPARA,ICA,COSTA SUR,qc00000698,RIO GRANDE,ICA,COSTA SUR,60.851,265.0,True,True,0.2528,0.0,,322.0,False
qc00000727,COPARA,ICA,COSTA SUR,qc47283708,HUALLPOCA,ICA,COSTA SUR,38.769,96.0,True,True,,,,683.0,False
qc00000727,COPARA,ICA,COSTA SUR,qc00114021,PALPA,ICA,COSTA SUR,57.286,247.0,True,True,,,,340.0,False
qc00000727,COPARA,ICA,COSTA SUR,qc00114136,PALPA,ICA,COSTA SUR,57.286,247.0,True,True,,,,340.0,False
qc00000727,COPARA,ICA,COSTA SUR,qc00114006,RIO GRANDE,ICA,COSTA SUR,60.847,262.0,True,True,,,,325.0,False
qc00157101,CORDOVA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00114065,CORDOVA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,2.311,0.0,True,True,,,,3225.0,False
qc00156130,CHOCLOCOCHA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00113091,CHOCLOCOCHA,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,6.511,0.0,False,True,,,,4547.0,False
qc00156130,CHOCLOCOCHA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00000647,TUNEL CERO,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,17.733,72.0,False,True,,,,4475.0,False
qc00156130,CHOCLOCOCHA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00113016,TUNEL CERO,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,17.733,49.0,False,True,,,,4498.0,False
qc00156114,SAN JUAN DE CASTROVIRREYNA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00151503,HUACHOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,10.311,346.0,True,True,0.9532,0.0,,2744.0,False
qc00156114,SAN JUAN DE CASTROVIRREYNA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00156113,SAN JUAN DE YANAC,ICA,SIERRA CENTRAL OCCIDENTAL,17.246,105.0,True,True,0.9427,0.0,,2503.0,False
