,CODE,ESTACION,LON,LAT,ALT
241,X4720BB68,AYAHUITUNA,-73.77419,-15.02262,
242,X4721AAE4,AYMANA,-70.66759,-13.87279,
243,X472C57D4,BAGUA,-78.53397,-5.66142,
244,X47A04C54,BOCATOMA ATARJEA,-76.96417,-12.02528,
245,X109096,BUENA VISTA,-78.20828,-9.43372,
246,X47E1C5B4,CANAD,-78.99733333,-6.649344444,1213
247,X4AD07658,CADASBAMBA,-77.58103,-8.62384,
248,X112181,CAMPO DE MARTE,-77.0432,-12.07057,
249,X47A09A3C,CANAL CASHAMPA,-76.46167,-11.23,
250,X113249,CANETE,-76.33042,-13.07475,
251,X4720F862,CAROCURAHUAYTE COHIDRO,-74.05389,-5.11214,
252,X4AD03552,CASMA,-78.30137,-9.47982,
253,X114122,CCONTACC,-74.2642,-14.5423,
254,X111288,CHACAPALCA,-75.7557,-11.7328,
255,X4AD013BE,CHACAS,-77.36577,-9.16249,
256,X472147C4,CHARCANI PSI,-71.49511,-16.31086,
257,X105130,CHICHILAPAS,-79.30992,-5.27948,
258,X472A9204,CHILCA,-72.34056,-13.2235,
259,X4AD02624,CHIQUIAN,-77.15679,-10.14431,
260,X4720CDF8,COCHAMARCA,-75.51019,-12.99,
261,X251107,CONTAMANA COHIDRO,-75.005,-7.35456,
262,X4728F216,CORDOVA GORE,-75.16667,-14.03333,
263,X4AD050B4,CORONGO,-77.91019,-8.50942,
264,X47214916,ENAPU COHIDRO,-73.23936,-3.731,
265,X221403,ESTRELLA COHIDRO,-76.77333,-4.81939,
266,X4728B11C,FONAGRO GORE,-76.13361,-13.46278,
267,X47292684,HUACHOS GORE,-75.53333,-13.21667,
268,X213503,HUAMANI EL TAMBO GORE,-75.58928,-13.84358,
269,X210003,HUANCASAYA,-69.21467,-15.14308,
270,X4AD0A030,HUARMEY,-78.16653,-10.0836,
271,X47A0A5A6,HUASCACOCHA,-76.37972,-11.11333,
272,X472E112A,ILAVE,-69.62592,-16.08825,
273,X114128,ISCAHUACA,-73.27164,-14.52014,
274,X251108,JUANCITO COHIDRO,-74.86064,-6.04431,
275,X107131,LA FORTUNA,-78.40242,-7.67042,
276,X114123,MARCA CUNKA,-72.06289,-14.52328,
277,X472A71F6,MARISCAL CASTILLA COHIDRO,-73.44319,-4.44806,
278,X4AD0D6A0,NEPEDA,-78.35981,-9.17358,
279,X221311,NUEVA ALEGRIA COHIDRO,-77.51061,-4.44161,
280,X230604,NUEVA REFORMA COHIDRO,-76.15958,-5.85172,
281,X111290,NANA,-76.84194,-11.98744,
282,X4AD000C8,OCROS,-77.39676,-10.40312,
283,X114127,PAMPA GALERAS,-74.40361,-14.66917,
284,X472B90FE,PARIACANCHA,-76.48,-11.39139,
285,X4AD0C5D6,PASTO RURI,-77.17339,-9.8986,
286,X47E880E2,PICHARI,-73.83952,-12.52219,
287,X4AD0B346,POMABAMBA,-77.46052,-8.82002,
288,X112264,PONGO DE MAINIQUE,-72.82447,-12.24986,
289,X109094,PUCA PUCA,-76.5909,-9.87895,
290,X472B8388,PUCALLPA COHIDRO,-74.51953,-8.36225,
291,X47A05F22,PUENTE CUPICHE,-76.60972,-11.91417,
292,X250900,PUENTE PAMPAS,-73.82737,-13.43493,
293,X152501,PUERTO ALEGRIA COHIDRO,-70.05389,-4.11492,
294,X109093,PUERTO BERMUDEZ,-74.94356,-10.28619,
295,X4AD086DC,PURHUAY,-77.20234,-9.31543,
296,X4AD0F04C,QUILLCAYHUANCA ,-77.44643,-9.47683,
297,X212604,RIO BLANCO,-76.25961,-11.73447,
298,X47E8201A,SALVACION,-71.36446,-12.8312,
299,X112270,SAN BORJA,-77.00777,-12.10863,
300,X230605,SAN LUIS COHIDRO,-75.62756,-5.07975,
301,X4720EB14,SAN MARTIN,-76.76482,-9.40385,
302,X4AD0652E,SAN NICOLAS,-77.18475,-8.98039,
303,X112271,SANTA ANITA,-76.91861,-12.02611,
304,X230606,SANTA ISABEL COHIDRO,-76.12297,-5.76669,
305,X4725C4EA,SATIPO,-74.70028,-11.23361,
306,X109091,SAUCEPAMPA,-77.75173,-9.04586,
307,X47A0894A,SEGUE,-76.47639,-11.03444,
308,X230607,SELVA ALEGRE COHIDRO,-75.98094,-5.61622,
309,X4AD095AA,SHANCAYAN,-77.52524,-9.51681,
310,X110138,SHAQUEK,-77.52504,-10.07116,
311,X472C14DE,SHEQUE SEDAPAL,-76.5075,-11.65333,
312,X4AD043C2,SHILLA,-77.62427,-9.23142,
313,X47E8B578,SIBINACOCHA,-71.01823,-13.92214,
314,X47E9040C,TAMBORAQUE,-76.30986,-11.78486,
315,X113246,TANCAYLLO,-73.68839,-13.63369,
316,X107130,TICAPAMPA,-77.90148,-7.9123,
317,X4AD0E33A,TINGUA,-77.70762,-9.18553,
318,X4721B992,UPINA,-70.08281,-13.88492,
319,X472BA564,YASO,-76.77167,-11.57833,
320,X47A06AB8,YURACMAYO LAGUNA,-76.15306,-11.83833,
321,X110137,12 DE OCTUBRE,-76.52927,-10.60641,
